Series Name,Season Number,Episode Number,Episode Title,Air Date
  The Office  ,1,1, Pilot ,2005-03-24
the office,1,1,Pilot,2005-03-24
The Office,1,1,Untitled Episode,
The Office,,2, Diversity Day ,2005-03-29
The Office,0,2,diversity day,2005-03-29
The Office,1,,Health Care,2005-04-05
The Office,1,0, health care ,2005-04-05
Breaking Bad,one,1,Pilot,2008-01-20
Breaking Bad,0,1,pilot,2008-01-20
Breaking Bad,1,--2,Cat's in the Bag...,2008-01-27
Breaking Bad,1,2,,2008-01-27
Dark,-1,3.5,,not a date
Dark,,,,
,2,5,No Series,2018-01-01
Mr. Robot,2,3,eps2.1_k3rnel-pan1c.ksd,2016-07-27
 Mr.   Robot ,2,3,eps2.1_k3rnel-pan1c.ksd ,2016-07-27
Mr. Robot,2,3,eps2.1_k3rnel pan1c ksd,0000-00-00
Friends,3,5,,1996-10-17
Friends,3,5,The One with Frank Jr.,Unknown
Friends,3,5,The One with Frank Jr.,1996-10-17
Lost,2,10,The 23rd Psalm,2006-01-11
Lost,2,10,The 23rd Psalm,2006-13-40
Lost,2,10,Untitled Episode,2006-01-11
Severance,1,9, The We We Are ,2022-04-08
Severance,1,9,the we we are,2022-04-08
Severance,1,9,The We We Are,
Game of Thrones,3.5,9,The Rains of Castamere,2013-06-02
Game of Thrones,0,9,the rains of castamere,2013-06-02
Black Mirror,3,-2,Shut Up and Dance,2016-10-21
Black Mirror,3,0,shut up and dance,2016-10-21
Twin Peaks,2,7,,
Twin Peaks,2,7,Lonely Souls,1991-11-16
The Bear,2,,,2023-06-22
The Bear,2,0,Untitled Episode,2023-06-22
